,frame_id,timestamp,rotation_speed,movement_intensity,balance_state,cat_interaction_detected,is_rest,delta_yaw,delta_pitch,delta_roll
0,0,2025-02-19 18:30:48.573551,0.0,0.0,True,False,True,0.0,0.0,0.0
1,1,2025-02-19 18:30:48.744944,0.003333333333333334,0.6400867996694753,False,False,True,-0.003333333333333334,0.64,-0.010000000000000009
2,2,2025-02-19 18:30:48.918085,0.006666666666666665,0.6378435893261328,False,False,True,-0.006666666666666665,-0.48,0.42000000000000004
3,3,2025-02-19 18:30:49.089371,0.009999999999999997,0.6862943974709396,False,False,True,0.009999999999999997,0.5,-0.47
4,4,2025-02-19 18:30:49.261106,0.019999999999999997,0.39974992182613367,False,False,True,-0.019999999999999997,-0.15000000000000002,0.37
