frame_id,timestamp,left_pwm,right_pwm,arm_angle,source,decision_id
603,2025-12-16 10:02:48.632941,150,150,90,mrt_decisions_to_actions,1
604,2025-12-16 10:02:48.732941,150,150,90,mrt_decisions_to_actions,1
605,2025-12-16 10:02:48.832941,150,150,90,mrt_decisions_to_actions,1
606,2025-12-16 10:02:48.932941,150,150,90,mrt_decisions_to_actions,1
607,2025-12-16 10:02:49.032941,150,150,90,mrt_decisions_to_actions,1
608,2025-12-16 10:02:49.132941,150,150,90,mrt_decisions_to_actions,1
609,2025-12-16 10:02:49.232941,150,150,90,mrt_decisions_to_actions,1
610,2025-12-16 10:02:49.332941,150,150,90,mrt_decisions_to_actions,1
700,2025-12-16 10:02:51.651823,150,-150,90,mrt_decisions_to_actions,1
701,2025-12-16 10:02:51.751823,150,-150,90,mrt_decisions_to_actions,1
702,2025-12-16 10:02:51.851823,150,150,90,mrt_decisions_to_actions,1
703,2025-12-16 10:02:51.951823,150,150,90,mrt_decisions_to_actions,1
704,2025-12-16 10:02:52.051823,150,150,90,mrt_decisions_to_actions,1
705,2025-12-16 10:02:52.151823,150,150,90,mrt_decisions_to_actions,1
706,2025-12-16 10:02:52.251823,150,150,90,mrt_decisions_to_actions,1
707,2025-12-16 10:02:52.351823,150,150,90,mrt_decisions_to_actions,1
708,2025-12-16 10:02:52.451823,150,150,90,mrt_decisions_to_actions,1
709,2025-12-16 10:02:52.551823,150,150,90,mrt_decisions_to_actions,1
710,2025-12-16 10:02:52.651823,150,150,90,mrt_decisions_to_actions,1
711,2025-12-16 10:02:52.751823,150,150,90,mrt_decisions_to_actions,1
712,2025-12-16 10:02:51.651854,150,-150,90,mrt_decisions_to_actions,2
713,2025-12-16 10:02:51.751854,150,-150,90,mrt_decisions_to_actions,2
714,2025-12-16 10:02:51.851854,150,150,90,mrt_decisions_to_actions,2
715,2025-12-16 10:02:51.951854,150,150,90,mrt_decisions_to_actions,2
716,2025-12-16 10:02:52.051854,150,150,90,mrt_decisions_to_actions,2
717,2025-12-16 10:02:52.151854,150,150,90,mrt_decisions_to_actions,2
718,2025-12-16 10:02:52.251854,150,150,90,mrt_decisions_to_actions,2
719,2025-12-16 10:02:52.351854,150,150,90,mrt_decisions_to_actions,2
720,2025-12-16 10:02:52.451854,150,150,90,mrt_decisions_to_actions,2
721,2025-12-16 10:02:52.551854,150,150,90,mrt_decisions_to_actions,2
722,2025-12-16 10:02:52.651854,150,150,90,mrt_decisions_to_actions,2
723,2025-12-16 10:02:52.751854,150,150,90,mrt_decisions_to_actions,2
1300,2025-12-16 10:03:20.619511,-150,150,90,mrt_decisions_to_actions,1
